,Date,Bidding Session,Category,Quota,Successful Bids,Received Bids,Premium
369,2013-01,2,E,251,248,344,97889
374,2013-02,1,E,238,221,295,94890
379,2013-02,2,E,241,200,370,91910
384,2013-03,1,E,255,248,1036,65001
389,2013-03,2,E,279,277,635,73301
394,2013-04,1,E,245,244,450,66989
399,2013-04,2,E,240,227,421,62000
404,2013-05,1,E,239,238,447,62301
409,2013-05,2,E,251,239,466,66701
414,2013-06,1,E,239,189,534,76000
419,2013-06,2,E,251,250,466,83001
424,2013-07,1,E,288,284,485,77000
429,2013-07,2,E,240,237,425,76802
434,2013-08,1,E,264,261,407,77989
439,2013-08,2,E,264,264,385,79223
444,2013-09,1,E,263,181,431,80000
449,2013-09,2,E,261,253,459,87001
454,2013-10,1,E,342,330,483,93889
459,2013-10,2,E,269,264,337,92289
464,2013-11,1,E,273,270,379,89001
469,2013-11,2,E,266,259,410,83000
474,2013-12,1,E,264,264,365,76901
479,2013-12,2,E,268,268,375,77501
484,2014-01,1,E,261,244,392,79000
489,2014-01,2,E,261,259,373,78810
494,2014-02,1,E,208,205,351,77003
499,2014-02,2,E,193,191,321,79000
504,2014-03,1,E,193,185,292,82000
509,2014-03,2,E,193,192,293,84001
514,2014-04,1,E,199,197,283,84100
519,2014-04,2,E,192,192,310,73810
524,2014-05,1,E,295,295,525,65501
529,2014-05,2,E,294,285,497,67290
534,2014-06,1,E,293,292,465,67334
539,2014-06,2,E,302,276,434,65301
544,2014-07,1,E,294,288,441,63001
549,2014-07,2,E,319,317,483,65002
554,2014-08,1,E,245,243,429,69001
559,2014-08,2,E,241,224,358,72810
564,2014-09,1,E,241,235,385,74403
569,2014-09,2,E,256,252,395,74801
574,2014-10,1,E,245,236,390,72003
579,2014-10,2,E,242,242,335,72201
584,2014-11,1,E,272,271,403,71300
589,2014-11,2,E,263,263,382,73900
594,2014-12,1,E,265,257,370,76904
599,2014-12,2,E,264,264,446,73990
604,2015-01,1,E,272,265,386,75200
609,2015-01,2,E,264,246,431,76790
614,2015-02,1,E,181,181,288,71921
619,2015-02,2,E,193,193,373,67901
624,2015-03,1,E,175,162,322,70500
629,2015-03,2,E,174,172,290,72100
634,2015-04,1,E,187,165,311,78000
639,2015-04,2,E,176,163,331,79500
644,2015-05,1,E,292,290,445,78004
649,2015-05,2,E,283,281,364,78001
654,2015-06,1,E,272,267,392,75801
659,2015-06,2,E,272,269,373,74501
664,2015-07,1,E,274,272,411,69001
669,2015-07,2,E,272,270,441,60101
674,2015-08,1,E,363,361,607,57885
679,2015-08,2,E,363,356,609,61001
684,2015-09,1,E,363,358,580,61010
689,2015-09,2,E,368,368,542,61300
694,2015-10,1,E,366,360,582,58801
699,2015-10,2,E,361,356,584,60000
704,2015-11,1,E,367,363,505,60689
709,2015-11,2,E,365,365,519,62019
714,2015-12,1,E,364,362,495,60003
719,2015-12,2,E,360,360,512,57501
724,2016-01,1,E,362,361,498,55089
729,2016-01,2,E,360,350,713,51000
734,2016-02,1,E,446,443,824,44001
739,2016-02,2,E,456,450,873,45009
744,2016-03,1,E,449,312,951,48002
749,2016-03,2,E,452,445,912,46667
754,2016-04,1,E,583,346,1397,47510
759,2016-04,2,E,453,433,834,49501
764,2016-05,1,E,750,728,1380,49000
769,2016-05,2,E,534,510,815,49700
774,2016-06,1,E,536,533,860,55100
779,2016-06,2,E,538,531,1009,57390
784,2016-07,1,E,517,517,750,56002
789,2016-07,2,E,521,500,821,57501
794,2016-08,1,E,429,400,610,58201
799,2016-08,2,E,450,450,618,56956
804,2016-09,1,E,458,450,723,56889
809,2016-09,2,E,429,429,592,55201
814,2016-10,1,E,436,435,642,54200
819,2016-10,2,E,429,428,678,56340
824,2016-11,1,E,401,388,641,56000
829,2016-11,2,E,401,397,531,54901
834,2016-12,1,E,413,411,643,50010
839,2016-12,2,E,404,404,668,50389
844,2017-01,1,E,401,394,648,53001
849,2017-01,2,E,400,381,662,52600
854,2017-02,1,E,488,488,805,48556
859,2017-02,2,E,500,483,800,51000
864,2017-03,1,E,482,478,763,53001
869,2017-03,2,E,499,499,783,54501
874,2017-04,1,E,486,485,748,54556
879,2017-04,2,E,482,477,712,54616
884,2017-05,1,E,529,528,755,55000
889,2017-05,2,E,532,506,731,52000
894,2017-06,1,E,528,528,878,50526
899,2017-06,2,E,553,519,925,48001
904,2017-07,1,E,528,521,872,49899
909,2017-07,2,E,562,516,941,50101
914,2017-08,1,E,547,545,822,52751
919,2017-08,2,E,586,562,781,50000
924,2017-09,1,E,543,543,805,48005
929,2017-09,2,E,565,563,905,49012
934,2017-10,1,E,540,528,869,49000
939,2017-10,2,E,542,539,809,52000
944,2017-11,1,E,524,495,867,57000
949,2017-11,2,E,516,498,844,57501
954,2017-12,1,E,542,537,831,54334
959,2017-12,2,E,531,529,1003,48011
964,2018-01,1,E,518,518,923,47390
969,2018-01,2,E,515,495,817,44000
974,2018-02,1,E,566,562,790,39903
979,2018-02,2,E,586,581,1216,38801
984,2018-03,1,E,571,525,967,39000
989,2018-03,2,E,571,564,977,38000
994,2018-04,1,E,612,604,967,38039
999,2018-04,2,E,573,571,1027,38389
1004,2018-05,1,E,565,562,1008,38600
1009,2018-05,2,E,558,533,836,38700
1014,2018-06,1,E,559,525,927,37000
1019,2018-06,2,E,581,580,868,34400
1024,2018-07,1,E,591,582,975,31001
1029,2018-07,2,E,558,558,1082,32809
1034,2018-08,1,E,536,524,896,33420
1039,2018-08,2,E,527,525,927,32311
1044,2018-09,1,E,540,506,1006,31801
1049,2018-09,2,E,530,519,928,32000
1054,2018-10,1,E,561,543,1066,32552
1059,2018-10,2,E,539,527,779,32900
1064,2018-11,1,E,557,544,862,32000
1069,2018-11,2,E,552,546,930,30959
1074,2018-12,1,E,552,546,1021,30851
1079,2018-12,2,E,545,545,778,31809
1084,2019-01,1,E,546,540,776,32909
1089,2019-01,2,E,540,530,797,33689
1094,2019-02,1,E,403,392,545,35310
1099,2019-02,2,E,407,407,658,36667
1104,2019-03,1,E,408,405,689,37620
1109,2019-03,2,E,397,396,730,41000
1114,2019-04,1,E,400,391,648,48209
1119,2019-04,2,E,398,391,667,52410
1124,2019-05,1,E,384,379,513,52502
1129,2019-05,2,E,382,375,626,47000
1134,2019-06,1,E,380,375,724,42002
1139,2019-06,2,E,381,380,536,39400
1144,2019-07,1,E,379,377,523,36901
1149,2019-07,2,E,375,367,751,39889
1154,2019-08,1,E,357,353,589,40512
1159,2019-08,2,E,363,353,593,40002
1164,2019-09,1,E,359,350,552,37912
1169,2019-09,2,E,365,350,632,40000
1174,2019-10,1,E,364,358,601,41001
1179,2019-10,2,E,369,356,506,42020
1184,2019-11,1,E,383,376,587,40101
1189,2019-11,2,E,390,383,540,40889
1194,2019-12,1,E,384,377,518,38889
1199,2019-12,2,E,384,373,496,37989
1204,2020-01,1,E,384,377,541,38000
1209,2020-01,2,E,388,388,528,37500
1214,2020-02,1,E,335,330,525,34900
1219,2020-02,2,E,328,324,550,33301
1224,2020-03,1,E,333,331,512,32500
1229,2020-03,2,E,331,324,503,32500
